date,open,high,low,close,volume
2017-01-03,103.8661,105.826,98.8717,101.4883,37549876
2017-01-04,102.8712,104.9604,101.0108,103.8561,29980506
2017-01-05,103.9954,105.2788,100.5332,101.2197,24607382
2017-01-06,102.324,103.7168,100.6824,102.5727,20571416
2017-01-09,102.9707,107.4477,102.9707,106.7313,22906225
2017-01-10,107.2586,108.6316,105.0898,105.9255,22022969
2017-01-11,105.4579,105.6569,103.6174,104.6222,13141588
2017-01-12,103.6969,104.1645,101.1003,102.911,15640414
2017-01-13,103.0702,104.463,102.5329,102.901,11445543
2017-01-17,102.4732,102.6722,100.0557,100.5929,14515259
2017-01-18,99.7273,102.7021,98.6031,102.4235,16360615
2017-01-19,102.5429,105.9155,102.4533,104.6222,16121778
2017-01-20,105.5375,106.2538,102.5926,103.4781,12300557
2017-01-23,103.2691,105.3584,103.1697,104.5525,9247639
2017-01-24,104.9604,107.0298,104.3635,106.7811,10701271
2017-01-25,108.4923,108.741,105.7908,107.2387,13084499
2017-01-26,107.3482,109.3877,106.1543,109.0892,11469970
2017-01-27,109.3678,111.3178,108.2933,111.1984,11799929
2017-01-30,110.3527,110.4423,107.3587,109.4573,12400084
2017-01-31,108.3928,109.4872,107.6466,108.6216,9068865
2017-02-01,110.0145,113.5364,109.2982,113.3672,14750082
2017-02-02,112.7206,115.1481,111.4869,114.7999,12081040
2017-02-03,114.8596,115.3073,113.3175,113.795,9318633
2017-02-06,113.417,116.7261,113.417,116.71,12669205
2017-02-07,118.0929,120.3016,117.297,118.5207,18655567
2017-02-08,117.7945,118.6998,115.7848,118.0034,11239487
2017-02-09,118.2521,118.4511,115.0088,115.7848,21064178
2017-02-10,119.3166,120.0827,112.0241,113.0389,41277341
2017-02-13,112.8101,113.3971,107.6466,107.8257,29518071
2017-02-14,107.4377,109.5867,105.7464,108.2237,21265787
2017-02-15,108.3431,109.2385,107.2089,108.4425,9325512
2017-02-16,108.8306,108.8803,105.1196,106.7015,16179386
2017-02-17,106.1543,106.8607,104.2541,106.6816,14093465
2017-02-21,107.6765,110.6611,107.6665,110.502,13798783
2017-02-22,110.99,111.3686,109.5655,110.3326,10844256
2017-02-23,105.0929,105.9794,99.2953,100.1022,39822213
